[Starting] Opening the serial port - COM14
[Info] Opened the serial port - COM14
---BEGIN---
TIME	INPUT	OUTPUT1	OUTPUT2	TS	GRADIENT
159616	1	214.50	24.19	536	0.00093
160151	1	215.25	24.19	535	0.00140
160686	1	216.25	24.19	535	0.00187
161221	1	217.00	24.19	535	0.00140
161757	1	217.75	24.25	536	0.00140
162292	1	218.50	24.19	535	0.00140
162828	1	219.00	24.25	536	0.00093
163362	1	219.75	24.25	534	0.00140
163898	1	220.75	24.25	536	0.00187
164433	1	221.75	24.25	535	0.00187
164969	1	222.50	24.25	536	0.00140
165505	1	223.25	24.25	536	0.00140
166039	1	223.75	24.31	534	0.00094
166575	1	225.00	24.31	536	0.00233
167110	1	225.25	24.31	535	0.00047
167646	1	226.00	24.31	536	0.00140
168181	1	226.50	24.31	535	0.00093
168717	1	227.75	24.31	536	0.00233
169251	1	228.75	24.31	534	0.00187
169787	1	229.50	24.37	536	0.00140
170322	1	229.75	24.37	535	0.00047
170858	1	230.75	24.37	536	0.00187
171394	1	231.50	24.44	536	0.00140
171929	1	232.50	24.44	535	0.00187
172465	1	233.50	24.44	536	0.00187
172999	1	234.25	24.50	534	0.00140
173535	1	234.50	24.50	536	0.00047
174070	1	235.50	24.50	535	0.00187
174606	1	236.00	24.56	536	0.00093
175141	1	236.75	24.62	535	0.00140
175677	1	237.75	24.62	536	0.00187
176211	1	238.25	24.62	534	0.00094
176747	1	239.00	24.69	536	0.00140
177283	1	239.75	24.75	536	0.00140
177818	1	240.50	24.75	535	0.00140
178354	1	241.50	24.81	536	0.00187
178889	1	242.25	24.87	535	0.00140
179424	1	243.00	24.87	535	0.00140
179959	1	243.75	24.87	535	0.00140
180495	1	244.50	24.94	536	0.00140
181030	1	245.25	25.00	535	0.00140
181566	1	245.75	25.00	536	0.00093
182102	1	246.75	25.06	536	0.00187
182637	1	247.50	25.06	535	0.00140
183173	1	248.25	25.19	536	0.00140
183707	1	249.00	25.19	534	0.00140
184243	1	249.75	25.19	536	0.00140
184778	1	250.25	25.25	535	0.00093
185314	1	251.00	25.25	536	0.00140
185849	1	252.00	25.31	535	0.00187
186385	1	252.50	25.37	536	0.00093
186920	1	253.25	25.37	535	0.00140
187456	1	253.25	25.44	536	0.00000
187992	1	254.75	25.44	536	0.00280
188527	1	255.25	25.50	535	0.00093
189063	1	256.00	25.44	536	0.00140
189598	1	256.75	25.50	535	0.00140
190134	1	257.75	25.50	536	0.00187
190669	1	258.00	25.50	535	0.00047
191205	1	259.00	25.50	536	0.00187
191740	1	260.00	25.50	535	0.00187
192276	1	260.50	25.56	536	0.00093
192812	1	261.00	25.50	536	0.00093
193347	1	261.75	25.56	535	0.00140
193883	1	262.25	25.56	536	0.00093
194417	1	263.25	25.56	534	0.00187
194953	1	264.00	25.62	536	0.00140
195488	1	265.00	25.62	535	0.00187
196024	1	265.50	25.62	536	0.00093
196559	1	266.00	25.69	535	0.00093
197095	1	266.75	25.69	536	0.00140
197630	1	267.50	25.69	535	0.00140
198166	1	268.00	25.69	536	0.00093
198702	1	269.00	25.75	536	0.00187
199237	1	269.25	25.75	535	0.00047
199773	1	270.25	25.75	536	0.00187
200308	1	271.00	25.81	535	0.00140
200844	1	271.75	25.81	536	0.00140
201379	1	272.25	25.87	535	0.00093
201914	1	272.75	25.87	535	0.00093
202449	1	273.50	25.94	535	0.00140
202985	1	274.25	26.00	536	0.00140
203521	1	275.25	26.06	536	0.00187
204056	1	275.75	26.06	535	0.00093
204592	1	276.50	26.12	536	0.00140
205127	1	277.00	26.12	535	0.00093
205663	1	277.25	26.19	536	0.00047
206198	1	278.00	26.25	535	0.00140
206734	1	279.00	26.25	536	0.00187
207269	1	279.50	26.25	535	0.00093
207805	1	280.25	26.31	536	0.00140
208340	1	281.00	26.37	535	0.00140
208876	1	281.50	26.37	536	0.00093
209412	1	282.25	26.37	536	0.00140
209947	1	283.25	26.44	535	0.00187
210483	1	283.50	26.44	536	0.00047
211018	1	284.50	26.44	535	0.00187
211554	1	285.00	26.50	536	0.00093
212089	1	285.75	26.50	535	0.00140
212625	1	286.25	26.56	536	0.00093
213160	1	287.25	26.56	535	0.00187
213696	1	288.00	26.56	536	0.00140
214232	1	288.50	26.62	536	0.00093
214767	1	289.25	26.62	535	0.00140
215302	1	289.50	26.62	535	0.00047
